事件id,事件名称,朝代,时期,年号,年份,事件简介,事件内容,检索词,事件类别,特征类别,一级地点,二级地点,相关人物,相关作品
401,白门文会创刊《彗星》,现当代,现当代,,1933年,《彗星》作品被认为是南京文坛上一股清新之风,1932年黄其起、吴漱予、段可情、项德言等在南京成立了白门文会，在南京高楼门傅厚岗四号，设立了《彗星》编辑部，于1933年元旦创刊了纯文艺月刊《彗星》。《彗星》第1卷第1期《编后》中说，白门文会是由一群“不是那么有钱和有闲的人”组织起来的，并说：“我们的彗星出现于中国文坛中，它的希望如下：一、希望中国有丰富的收获，二、希望能扫清中国文坛上的一切妖氛魔气。”《彗星》设小说、诗、剧、文、批评诸栏目，黄其起、吴漱予、段可情、项德言负责期刊编辑，曾发表的主要作品有项德言短篇小说《警察》，描述一名警察因记录了警察厅长的车祸而受到训斥进而受到不公正的惩罚的故事；黄其起的长诗《前夜》则以社会生活为主线，描述了小偷、妓女、兵痞、工人、破产农民、地主绅士等各阶层的生活，重点对比 “朱门酒肉臭，路有冻死骨”的贫富悬殊的社会生活场景，另有赵景深的《文学的特质》、孙俍工的独幕剧《审判》等，被认为是三十年代南京文坛上的一股清新之风。1933年6月《彗星》出版到第6期停刊，白门文会也停止了活动。,《彗星》,活动,作品+影响,,,黄其起、吴漱予、段可情、项德言、赵景深、孙俍工,《彗星》、《警察》，、《前夜》、《文学的特质》、《审判》
402,蒋介石授意成立“三民主义力行社”,现当代,现当代,,1932年,力行社主张以法西斯主义拯救中国,1932年到1937年抗战爆发前为民族主义文艺运动的后期。1932年3月1日，在蒋介石授意下，贺衷寒、邓文仪、康泽等黄埔骨干分子在南京发起成立“三民主义力行社”。“力行社”外围组织分两层，即“青会”(“革命青年同志会”和“革命军人同志会”)和“复兴社”。在思想文化方面，“力行社”主张以法西斯主义拯救疲弱的中国，他们在文化学会的帮助下创办报刊宣传强力治国、铁腕手段。这是三民主义文学的一条歧路，从1932年底起三民主义与法西斯主义成的关系和未来国家发展路径成为当时的热门话题。这一时期民族主义者指出“民族主义底目的，是要使民族能够独立，并且在各民族间处于平等的地位；凡能使得达到这目的的文学，就是民族主义的文学，无论是戏剧，小说，诗歌或者散文。同时，凡是攻毁民族主义前途底障碍的文学，和暴露民族主义敌对底丑态的文学，也都是民族主义的文学。”,“力行社”,活动,流派+观点,南京,,蒋介石、贺衷寒、邓文仪、康泽,
403,陈梦家继承发展了“新月派”新诗理论,现当代,现当代,,1930年,陈梦家的《诗的装饰和灵魂》强调诗是“美的文学”，在《雁子》中贯彻其创作宗旨。,1930年1月，陈梦家在校刊《国立中央大学半月刊》第1卷第7期上发表题为《诗的装饰和灵魂》的文章，继承发展了“新月派”新诗理论，强调诗是“美的文学”，应当以独特的形象与灵魂来构建出可吟诵歌唱、回味无穷的作品。进而他将诗的内涵分为外在的韵律和内在的诗感，强调诗意中应富含哲学意味。“诗在内容上不仅是一些平凡的描摹与感慨，更其要有哲学意味。 陈梦家还对诗歌韵律的探讨是对新月派新诗实践者闻一多、徐志摩诗歌理论的继承与发展。陈梦家细致解读诗歌创作的审美标准：诗要把最妥贴，最调适，最不可少的字句，安放在所应安放的地位。它的声调，甚或它的空气，也要与诗的情绪相默契。同时还强调创作诗歌的严肃态度和严整的形式要求。陈梦家在《雁子》中很好地贯彻了上述的创作宗旨，技巧纯熟，音节严谨。,陈梦家,作者事件,文人+作品+观点,,国立中央大学,陈梦家、徐志摩、闻一多,《国立中央大学半月刊》、《诗的装饰和灵魂》、《雁子》
404,闻一多认为新诗要有节奏美,现当代,现当代,,1926年,闻一多分辨了传统律诗与现代新诗的差别,1926年闻一多发表了《诗的格律》，他认为，新诗必须要有节奏美，以此为基础闻一多提出了以“包括音乐的美(音节)，绘画的美(词藻)，并且还有建筑的美(节的匀称和句的均齐)”为核心的诗的格律这一主张。他重点分辨了传统律诗与现代新诗的差别：传统律诗形式单一，内容与格律没有关联，而新诗的格律则变化多端，与内容相得益彰。,闻一多,作者事件,文人+事件,,,闻一多,《诗的格律》
406,陈梦家受邀创作6《新月诗选?序》,现当代,现当代,,1931年,《新月诗选?序》被认为是后期新月派史论的代表,1931年陈梦家应徐志摩邀请编选的《新月诗选》，创作6000多字的《新月诗选?序》，被认为是后期新月派史论的代表，也是陈梦家诗歌理论的继续成熟。,《新月诗选》,作品事件,作品+影响,,,陈梦家、徐志摩,《新月诗选》、《新月诗选?序》
415,卢前一生致力于新旧文学创作，是南京浓厚的传统文学底蕴的继承者与发扬者，也是东南大学新诗阵营中的重要创作者和研究者,现当代,现当代,,1928年,卢前是东南大学新诗阵营的重要创作者，创作许多南京主题作品，创作独特，处于新旧文学之间，在现代文学中极富价值。他总结了新旧诗歌的界限分野，小说创作与新诗风格接近，但在诗歌形式上没有太大贡献。,卢前出身书香门第，生于南京，对南京怀有深厚的感情。抗战爆发后举家逃难去安徽无为，之后辗转到重庆。在逃难过程中他创作了《南京杂忆》，收入《炮火中流亡记》，与《关洛劳军记》《上吉山典乐记》《还乡日记》一同被收录到散文集《丁乙间四记》（南京读者之友社，1946）。一生致力于新旧文学创作、搜集整理传统典籍和对传统文学的现代转化，在新旧文学的创作实绩和研究水准上都是现代文学中极富价值和别具特色的一部分。他是难得的自觉融和新旧文学特征的作家，突破了新旧樊篱，将诗歌创作回归于本质，既是南京浓厚的传统文学底蕴的继承者与发扬者，也是东南大学新诗阵营中的重要创作者和研究者，虽然在诗歌形式上没有太大的贡献，但在诗歌创作实践中却体现出与陆志韦不谋而合的诗歌观念。小说领域卢前也多有收获，他青年时期的小说创作与其新诗风格接近，文笔清新，以饱含诗意的文字来描述青年男女之间或纯洁或苦涩的爱情萌动。,卢前,作者事件,文人+作品特点+影响,南京,泰东图书局、东南大学,陆志韦、卢前,《金马》、《T与R》、《落花时节》、《南京杂忆》、《炮火中流亡记》、《关洛劳军记》、《上吉山典乐记》、《还乡日记》、《丁乙间四记》（南京读者之友社，1946）
417,丁玲在幽禁于南京时期创作作品,现当代,现当代,,1933年-1936年,丁玲在幽禁于南京时期创作作品,对于丁玲来说，南京既是她年少求学之地，也是她背负污名的处所。1924年她曾与好友王剑虹一起在从湖南到南京求学。1933年5月丁玲与丈夫冯达在上海被国民党特务绑架，自1933年5月至1936年9月，丁玲被押解幽禁于南京。环境恶劣、心境阴沉导致本应处于创作旺盛期的丁玲搁笔多时，但她又不甘心从此失去写作的能力沦为主妇，因而在朋友的“友好的督促”下、“在这极不安和极焦躁中勉强写了一些”，这时期的作品共计《松子》《一月二十三日》《陈伯祥》《团聚》和一篇报告文《八月生活》，连同被捕前的旧作《莎菲日记第二部》(未完)《杨妈的日记》和《不算情书》都收入1936年11月上海良友图书印刷公司出版的《意外集》。,丁玲,作者事件,文人+事件,南京,,丁玲,《松子》、《一月二十三日》、《陈伯祥》、《团聚》、《八月生活》、《莎菲日记第二部》(未完)、《杨妈的日记》、《不算情书》都、《意外集》
418,沈祖棻发表小说,现当代,现当代,,1935年-1937年,沈祖棻小说写作风格独具女性特色,沈祖棻出身于书香门第，毕业于南京中央大学和金陵大学，是著名的诗人、词人、小说家和文学研究者，被称之为“当代李清照”。1935年到1937年，她在《文艺月刊》上发表了《辩才禅师》《茂陵的雨夜》《马嵬驿》等五篇历史小说，显示出独具女性特色的写作风格。《茂陵的雨夜》以卓文君和司马相如的故事为原型，《马嵬驿》则以历史文明的杨贵妃的故事为题材，小说从女性视角出发，对女性情感、命运进行关注和思考。《茂陵的雨夜》中开篇她写到“茂陵秋雨病相如”(李商隐《寄令狐郎中》)和“茂陵多病后，尚爱卓文君”(杜甫《琴台》)，以古诗为原型，激发现代小说创作。文中对司马相如和卓文君的爱情大加赞誉，卓文君私奔再嫁不是女性身上的污点，作者认为卓文君的精神贞操仍旧是纯洁的，为追求真爱而超越伦理道德是女性个性解放的合理要求。为了司马相如的健康，卓文君与丈夫分居，在这个雨夜她辗转反侧，难以入眠。生老病死难以抗拒，却不能阻隔爱情。《马嵬驿》取材于唐明皇和杨贵妃的爱情悲剧，以第三人称的叙述视角，截取了李杨之恋由喜转悲的关键点，用大段的心理描写来刻画杨玉环对爱情的认识。起初她得到寿王宠爱却并不满意，因为这不是平等的爱情， “她以为她并不是寿王的爱人，只是他的一件珍玩，一个奴隶。”而她与唐玄宗成亲时，长生殿前玄宗许诺爱情要延续生生世世。她才感受到平等的夫妻之爱，而不是帝王的恩赐，她不介意背负乱伦祸国的罪名，只要能常伴在爱人身边。然而在马嵬坡上，爱人虚伪的面具被揭穿后，她觉得爱情信念完全被摧毁，失去了求生意志。作家在小说中让杨玉环因爱生怖，当爱被利益玷污时，她宁为玉碎，不为瓦全，愤而以生命为爱情的祭品。女性对爱情的忠贞和呼唤人性解放的要求，在小说中不断加强，不断失望，深化了古典爱情的精神诉求。,沈祖棻,作者事件,文人+作品特点,,,沈祖棻,《文艺月刊》、《辩才禅师》、《茂陵的雨夜》、《马嵬驿》
419,赛珍珠以描写中国题材获得诺贝尔文学奖，使西方人了解中国,现当代,现当代,,,赛珍珠搭建了东西方文学桥梁,赛珍珠对于南京文学来说是超然的个体，她在美国出生，中国长大，汉语和英文都是她的母语。她不仅是美国第一位获得诺贝尔文学奖的女作家，也是目前唯一一位以描写中国题材获得诺贝尔文学奖的美国作家。《大地》三部曲中有大量农村习俗的描述，这源于赛珍珠在安徽宿县的生活经验，她对皖北农村风俗及农民性格和劳作习惯比较了解，小说中以写实的手法再现了农村原生态的生活场景。赛珍珠的“中国题材写作”成为了沟通现代中国与西方世界的桥梁，让西方人尤其是当时处于经济危机、思想危机中的美国人更多地了解中国，这种文本丰富了中国现代文学对现代中国人的生存与生命的观照。,赛珍珠,作者事件,文人+事件,,,赛珍珠,《大地》
420,赛珍珠在南京定居，开始文学创作，并以描写中国题材获得诺贝尔文学奖,现当代,现当代,,1920年-1938年年,赛珍珠以中西双维视角创作作品、小说描写学生状况，体现东西方、传统与现代的交锋，中国素材的小说有广阔市场，因《大地》获得诺贝尔文学奖，搭建了东西方文学桥梁。,1920年至1935年赛珍珠随丈夫定居于南京，受聘于金陵大学和国立东南大学，教授英语和宗教课程。精通中文的优势，让她在这一时期细致地观察了周围环境，踏上文学创作之路。作为中国出生、长大的美国传教士的女儿，她在写作中能够采用中西双维视角，以边缘倾听者的身份进行观察和书写。1923年赛珍珠在《大西洋月刊》上发表了《也在中国》，描述了女学生身上发生的一些变化。1924年她又在《论坛》和《中国》上发表了《美在中国》和《中国学生的思想状态》两篇文章，对自己身边的中国学生的状况进行详细描述。1925年在《亚洲》上发表了一篇小说名为《一位中国女子说》，随后赛珍珠又创作了小说续篇，两部小说集中体现了东方与西方、传统与现代的交锋。1930年4月她将这两部小说以《东风·西风》为题结集出版，受到读者的欢迎。1930年赛珍珠发表的描述中国农村生活英文小说《大地》，让她获得了巨大成功，帮助其获得了1938年的诺贝尔文学奖。小说中以写实的手法再现了农村原生态的生活场景。赛珍珠对于南京文学来说是超然的个体，她在美国出生，中国长大，汉语和英文都是她的母语。她不仅是美国第一位获得诺贝尔文学奖的女作家，也是目前唯一一位以描写中国题材获得诺贝尔文学奖的美国作家。赛珍珠的“中国题材写作”成为了沟通现代中国与西方世界的桥梁，让西方人尤其是当时处于经济危机、思想危机中的美国人更多地了解中国，这种文本丰富了中国现代文学对现代中国人的生存与生命的观照。,赛珍珠,作者事件,文人+作品+事件,南京,金陵大学、国立东南大学,赛珍珠,《大西洋月刊》、《也在中国》、《论坛》、《中国》、《美在中国》、《中国学生的思想状态》、《亚洲》、《一位中国女子说》、《东风?西风》、《大地》、《儿子们》、《分家》
